trainno, train_line
458, Airport (Inbound)
458, Glenside (Outbound)
458, Warminster (Outbound)
459, Airport (Outbound)
459, Glenside (Inbound)
459, Warminster (Inbound)
462, Airport (Inbound)
462, Glenside (Outbound)
462, Warminster (Outbound)
463, Airport (Outbound)
463, Glenside (Inbound)
463, Warminster (Inbound)
465, Airport (Outbound)
465, Glenside (Inbound)
465, Warminster (Inbound)
466, Airport (Inbound)
466, Glenside (Outbound)
466, Warminster (Outbound)
467, Airport (Outbound)
468, Airport (Inbound)
469, Airport (Outbound)
469, Glenside (Inbound)
469, Warminster (Inbound)
470, Airport (Inbound)
470, Glenside (Outbound)
470, Warminster (Outbound)
4708, Airport (Inbound)
471, Airport (Outbound)
472, Airport (Inbound)
473, Airport (Outbound)
473, Glenside (Inbound)
473, Warminster (Inbound)
474, Airport (Inbound)
474, Glenside (Outbound)
474, Warminster (Outbound)
475, Airport (Outbound)
4756, Airport (Inbound)
4756, Chestnut Hill East (Outbound)
476, Airport (Inbound)
476, Glenside (Outbound)
476, Warminster (Outbound)
4804, Airport (Inbound)
4815, Chestnut Hill West (Outbound)
4815, Glenside (Inbound)
4815, Warminster (Inbound)
4844, Airport (Inbound)
4844, Fox Chase (Outbound)
499, Airport (Outbound)
499, Glenside (Inbound)
499, Warminster (Inbound)
501, Glenside (Inbound)
501, Lansdale/Doylestown (Inbound)
501, Paoli/Thorndale (Outbound)
503, Glenside (Inbound)
503, Lansdale/Doylestown (Inbound)
503, Paoli/Thorndale (Outbound)
507, Lansdale/Doylestown (Inbound)
507, Paoli/Thorndale (Outbound)
509, Glenside (Inbound)
509, Lansdale/Doylestown (Inbound)
509, Paoli/Thorndale (Outbound)
513, Glenside (Inbound)
513, Lansdale/Doylestown (Inbound)
513, Paoli/Thorndale (Outbound)
514, Glenside (Outbound)
514, Lansdale/Doylestown (Outbound)
514, Paoli/Thorndale (Inbound)
515, Glenside (Inbound)
515, Lansdale/Doylestown (Inbound)
515, Paoli/Thorndale (Outbound)
516, Glenside (Outbound)
516, Lansdale/Doylestown (Outbound)
516, Paoli/Thorndale (Inbound)
519, Glenside (Inbound)
519, Lansdale/Doylestown (Inbound)
519, Paoli/Thorndale (Outbound)
521, Glenside (Inbound)
521, Lansdale/Doylestown (Inbound)
521, Paoli/Thorndale (Outbound)
522, Paoli/Thorndale (Inbound)
523, Glenside (Inbound)
523, Lansdale/Doylestown (Inbound)
523, Paoli/Thorndale (Outbound)
525, Glenside (Inbound)
525, Lansdale/Doylestown (Inbound)
525, Paoli/Thorndale (Outbound)
5253, Glenside (Inbound)
5253, Lansdale/Doylestown (Inbound)
5253, Wilmington/Newark (Outbound)
5265, Glenside (Inbound)
5265, Lansdale/Doylestown (Inbound)
5265, Wilmington/Newark (Outbound)
527, Glenside (Inbound)
527, Lansdale/Doylestown (Inbound)
527, Paoli/Thorndale (Outbound)
529, Glenside (Inbound)
529, Lansdale/Doylestown (Inbound)
529, Paoli/Thorndale (Outbound)
531, Glenside (Inbound)
531, Lansdale/Doylestown (Inbound)
531, Paoli/Thorndale (Outbound)
5315, Glenside (Inbound)
5315, Lansdale/Doylestown (Inbound)
533, Glenside (Inbound)
533, Lansdale/Doylestown (Inbound)
533, Paoli/Thorndale (Outbound)
5368, Glenside (Outbound)
5368, Paoli/Thorndale (Inbound)
5368, West Trenton (Outbound)
537, Glenside (Inbound)
537, Lansdale/Doylestown (Inbound)
537, Paoli/Thorndale (Outbound)
539, Glenside (Inbound)
539, Lansdale/Doylestown (Inbound)
539, Paoli/Thorndale (Outbound)
540, Glenside (Outbound)
540, Lansdale/Doylestown (Outbound)
540, Paoli/Thorndale (Inbound)
5408, Glenside (Outbound)
5408, Paoli/Thorndale (Inbound)
5408, Warminster (Outbound)
541, Glenside (Inbound)
541, Lansdale/Doylestown (Inbound)
541, Paoli/Thorndale (Outbound)
544, Glenside (Outbound)
544, Lansdale/Doylestown (Outbound)
544, Paoli/Thorndale (Inbound)
5444, Glenside (Outbound)
5444, Warminster (Outbound)
545, Glenside (Inbound)
545, Lansdale/Doylestown (Inbound)
545, Paoli/Thorndale (Outbound)
546, Glenside (Outbound)
546, Lansdale/Doylestown (Outbound)
546, Paoli/Thorndale (Inbound)
548, Glenside (Outbound)
548, Lansdale/Doylestown (Outbound)
548, Paoli/Thorndale (Inbound)
550, Glenside (Outbound)
550, Lansdale/Doylestown (Outbound)
550, Paoli/Thorndale (Inbound)
551, Glenside (Inbound)
551, Lansdale/Doylestown (Inbound)
551, Paoli/Thorndale (Outbound)
552, Glenside (Outbound)
552, Lansdale/Doylestown (Outbound)
552, Paoli/Thorndale (Inbound)
553, Glenside (Inbound)
553, Lansdale/Doylestown (Inbound)
553, Paoli/Thorndale (Outbound)
554, Glenside (Outbound)
554, Lansdale/Doylestown (Outbound)
554, Paoli/Thorndale (Inbound)
556, Glenside (Outbound)
556, Lansdale/Doylestown (Outbound)
556, Paoli/Thorndale (Inbound)
558, Glenside (Outbound)
558, Lansdale/Doylestown (Outbound)
558, Paoli/Thorndale (Inbound)
560, Glenside (Outbound)
560, Lansdale/Doylestown (Outbound)
560, Paoli/Thorndale (Inbound)
562, Glenside (Outbound)
562, Lansdale/Doylestown (Outbound)
562, Paoli/Thorndale (Inbound)
564, Glenside (Outbound)
564, Lansdale/Doylestown (Outbound)
564, Paoli/Thorndale (Inbound)
567, Glenside (Inbound)
567, Lansdale/Doylestown (Inbound)
567, Paoli/Thorndale (Outbound)
568, Glenside (Outbound)
568, Lansdale/Doylestown (Outbound)
568, Paoli/Thorndale (Inbound)
570, Glenside (Outbound)
570, Lansdale/Doylestown (Outbound)
570, Paoli/Thorndale (Inbound)
5711, Lansdale/Doylestown (Inbound)
5711, Trenton (Outbound)
5712, Chestnut Hill East (Outbound)
5712, Paoli/Thorndale (Inbound)
5714, Paoli/Thorndale (Inbound)
5728, Paoli/Thorndale (Inbound)
573, Glenside (Inbound)
573, Lansdale/Doylestown (Inbound)
573, Paoli/Thorndale (Outbound)
5737, Glenside (Inbound)
5737, Lansdale/Doylestown (Inbound)
5737, Trenton (Outbound)
574, Glenside (Outbound)
574, Lansdale/Doylestown (Outbound)
574, Paoli/Thorndale (Inbound)
575, Glenside (Inbound)
575, Lansdale/Doylestown (Inbound)
575, Paoli/Thorndale (Outbound)
577, Glenside (Inbound)
577, Lansdale/Doylestown (Inbound)
577, Paoli/Thorndale (Outbound)
578, Glenside (Outbound)
578, Lansdale/Doylestown (Outbound)
578, Paoli/Thorndale (Inbound)
579, Glenside (Inbound)
579, Lansdale/Doylestown (Inbound)
579, Paoli/Thorndale (Outbound)
580, Glenside (Outbound)
580, Lansdale/Doylestown (Outbound)
580, Paoli/Thorndale (Inbound)
581, Glenside (Inbound)
581, Lansdale/Doylestown (Inbound)
581, Paoli/Thorndale (Outbound)
582, Glenside (Outbound)
582, Lansdale/Doylestown (Outbound)
582, Paoli/Thorndale (Inbound)
583, Glenside (Inbound)
583, Lansdale/Doylestown (Inbound)
583, Paoli/Thorndale (Outbound)
584, Glenside (Outbound)
584, Lansdale/Doylestown (Outbound)
584, Paoli/Thorndale (Inbound)
585, Glenside (Inbound)
585, Lansdale/Doylestown (Inbound)
585, Paoli/Thorndale (Outbound)
586, Glenside (Outbound)
586, Lansdale/Doylestown (Outbound)
586, Paoli/Thorndale (Inbound)
587, Glenside (Inbound)
587, Lansdale/Doylestown (Inbound)
587, Paoli/Thorndale (Outbound)
588, Glenside (Outbound)
588, Lansdale/Doylestown (Outbound)
588, Paoli/Thorndale (Inbound)
589, Glenside (Inbound)
589, Lansdale/Doylestown (Inbound)
589, Paoli/Thorndale (Outbound)
591, Glenside (Inbound)
591, Lansdale/Doylestown (Inbound)
591, Paoli/Thorndale (Outbound)
592, Glenside (Outbound)
592, Lansdale/Doylestown (Outbound)
592, Paoli/Thorndale (Inbound)
594, Glenside (Outbound)
594, Lansdale/Doylestown (Outbound)
594, Paoli/Thorndale (Inbound)
596, Glenside (Outbound)
596, Lansdale/Doylestown (Outbound)
596, Paoli/Thorndale (Inbound)
598, Glenside (Outbound)
598, Lansdale/Doylestown (Outbound)
598, Paoli/Thorndale (Inbound)
6211, Manayunk/Norristown (Inbound)
6212, Manayunk/Norristown (Outbound)
6217, Manayunk/Norristown (Inbound)
6219, Manayunk/Norristown (Inbound)
6221, Manayunk/Norristown (Inbound)
6223, Manayunk/Norristown (Inbound)
6225, Manayunk/Norristown (Inbound)
6229, Manayunk/Norristown (Inbound)
6236, Manayunk/Norristown (Outbound)
6237, Manayunk/Norristown (Inbound)
6244, Manayunk/Norristown (Outbound)
6246, Manayunk/Norristown (Outbound)
6248, Manayunk/Norristown (Outbound)
6271, Manayunk/Norristown (Inbound)
6278, Manayunk/Norristown (Outbound)
6281, Manayunk/Norristown (Inbound)
6283, Manayunk/Norristown (Inbound)
6291, Manayunk/Norristown (Inbound)
6321, West Trenton (Inbound)
6322, Glenside (Outbound)
6322, West Trenton (Outbound)
6325, West Trenton (Inbound)
6327, Glenside (Inbound)
6327, West Trenton (Inbound)
6358, Glenside (Outbound)
6358, West Trenton (Outbound)
6370, Glenside (Outbound)
6370, West Trenton (Outbound)
6374, West Trenton (Outbound)
6378, West Trenton (Outbound)
6400, Glenside (Outbound)
6400, Warminster (Outbound)
6419, Glenside (Inbound)
6419, Warminster (Inbound)
6444, Glenside (Outbound)
6444, Warminster (Outbound)
6448, Glenside (Outbound)
6448, Warminster (Outbound)
6479, Glenside (Inbound)
6479, Warminster (Inbound)
6512, Glenside (Outbound)
6512, Lansdale/Doylestown (Outbound)
6517, Glenside (Inbound)
6517, Lansdale/Doylestown (Inbound)
6566, Glenside (Outbound)
6566, Lansdale/Doylestown (Outbound)
6572, Lansdale/Doylestown (Outbound)
6576, Lansdale/Doylestown (Outbound)
6595, Lansdale/Doylestown (Inbound)
6596, Lansdale/Doylestown (Outbound)
6598, Lansdale/Doylestown (Outbound)
6713, Chestnut Hill East (Inbound)
6721, Chestnut Hill East (Inbound)
6730, Chestnut Hill East (Outbound)
6762, Chestnut Hill East (Outbound)
6779, Chestnut Hill East (Inbound)
6848, Fox Chase (Outbound)
6856, Fox Chase (Outbound)
705, Chestnut Hill East (Inbound)
705, Trenton (Outbound)
707, Chestnut Hill East (Inbound)
707, Trenton (Outbound)
7218, Trenton (Inbound)
7220, Trenton (Inbound)
7220, Warminster (Outbound)
7239, Wilmington/Newark (Outbound)
7241, Wilmington/Newark (Outbound)
725, Chestnut Hill East (Inbound)
725, Trenton (Outbound)
7250, Manayunk/Norristown (Outbound)
7250, Trenton (Inbound)
726, Chestnut Hill East (Outbound)
726, Trenton (Inbound)
731, Chestnut Hill East (Inbound)
731, Trenton (Outbound)
732, Chestnut Hill East (Outbound)
732, Trenton (Inbound)
7327, Chestnut Hill East (Inbound)
7327, Media/Elwyn (Outbound)
733, Chestnut Hill East (Inbound)
733, Trenton (Outbound)
734, Chestnut Hill East (Outbound)
734, Trenton (Inbound)
735, Chestnut Hill East (Inbound)
735, Trenton (Outbound)
736, Chestnut Hill East (Outbound)
736, Trenton (Inbound)
7363, Chestnut Hill East (Inbound)
7363, Media/Elwyn (Outbound)
738, Chestnut Hill East (Outbound)
738, Trenton (Inbound)
7390, Glenside (Outbound)
7390, Trenton (Inbound)
7390, West Trenton (Outbound)
740, Chestnut Hill East (Outbound)
740, Trenton (Inbound)
7406, Trenton (Inbound)
7408, Trenton (Inbound)
7411, Airport (Outbound)
7411, Chestnut Hill East (Inbound)
7413, Airport (Outbound)
